GtecTime,UnityTime,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection
0,13-57-59.748,3,31,31,0,1,1,0,3.282745,3.108002,"(0.0, 0.0)","(0.6, 0.5)","(0.6, 0.6)","(-19.9, 3.5, -35.8)","(30.1, 4.5, -34.8)","(-33.4, 3.2, -36.0)","(-0.1, -0.1, 1.0)","(-0.2, -0.1, 1.0)","(-0.1, -0.2, 1.0)"
0,13-58-04.794,3,31,31,0,1,1,0,3.632187,3.35112,"(0.0, 0.0)","(0.6, 0.5)","(0.5, 0.5)","(-6.4, 4.3, -35.8)","(31.2, 4.9, -34.6)","(-32.3, 3.8, -36.6)","(0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-58-04.813,3,31,31,0,1,1,0,3.617142,3.349075,"(0.0, 0.0)","(0.6, 0.5)","(0.5, 0.5)","(-6.4, 4.3, -35.8)","(31.2, 4.9, -34.6)","(-32.3, 3.8, -36.6)","(0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-58-04.826,3,31,31,0,1,1,0,3.616745,3.309769,"(0.0, 0.0)","(0.6, 0.5)","(0.5, 0.5)","(-5.9, 4.3, -35.8)","(31.2, 4.9, -34.6)","(-32.3, 3.8, -36.6)","(0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-58-04.840,3,31,31,0,1,1,0,3.631622,3.309799,"(0.0, 0.0)","(0.6, 0.5)","(0.5, 0.5)","(-5.6, 4.3, -35.7)","(31.2, 4.9, -34.6)","(-32.3, 3.8, -36.6)","(0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-58-04.856,3,31,31,0,1,1,0,3.650482,3.358536,"(0.0, 0.0)","(0.5, 0.5)","(0.5, 0.5)","(-1.4, 4.3, -35.6)","(31.3, 5.0, -35.0)","(-32.2, 3.6, -36.1)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-58-04.872,3,31,31,0,1,1,0,3.52562,3.328629,"(0.0, 0.0)","(0.5, 0.5)","(0.5, 0.5)","(-28.9, 3.7, -36.3)","(31.4, 5.0, -35.2)","(-32.0, 3.7, -36.4)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-58-04.887,3,31,31,0,1,1,0,3.636826,3.34198,"(0.0, 0.0)","(0.5, 0.5)","(0.5, 0.5)","(-31.7, 3.7, -36.4)","(31.4, 5.0, -35.2)","(-32.1, 3.7, -36.4)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-58-04.902,3,31,31,0,1,1,0,3.613007,3.357498,"(0.0, 0.0)","(0.5, 0.5)","(0.5, 0.5)","(-31.7, 3.7, -36.4)","(31.4, 5.0, -35.2)","(-32.1, 3.7, -36.4)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-58-04.917,3,31,31,0,1,1,0,3.617172,3.366211,"(0.0, 0.0)","(0.5, 0.5)","(0.5, 0.5)","(-31.4, 3.7, -36.4)","(31.4, 5.0, -35.2)","(-32.1, 3.7, -36.4)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-58-04.931,3,31,31,0,1,1,0,3.617477,3.366135,"(0.0, 0.0)","(0.5, 0.5)","(0.5, 0.5)","(-8.7, 4.1, -35.9)","(31.4, 5.0, -35.2)","(-32.1, 3.7, -36.4)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-58-04.946,3,31,31,0,1,1,0,3.645813,3.369293,"(0.0, 0.0)","(0.5, 0.5)","(0.5, 0.5)","(-6.3, 4.2, -35.9)","(31.4, 5.0, -35.2)","(-32.1, 3.7, -36.4)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-58-04.960,3,31,31,0,1,1,0,3.618439,3.365784,"(0.0, 0.0)","(0.5, 0.5)","(0.5, 0.5)","(-6.6, 4.2, -35.9)","(31.4, 5.0, -35.1)","(-32.1, 3.7, -36.4)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-58-04.975,3,31,31,0,1,1,0,3.632416,3.367142,"(0.0, 0.0)","(0.5, 0.5)","(0.5, 0.5)","(-7.6, 4.2, -35.9)","(31.4, 5.0, -35.1)","(-32.1, 3.7, -36.4)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-58-04.989,3,31,31,0,1,1,0,3.644547,3.366913,"(0.0, 0.0)","(0.5, 0.5)","(0.5, 0.5)","(-8.2, 4.1, -35.9)","(31.4, 5.0, -35.1)","(-32.1, 3.7, -36.4)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-58-05.003,3,31,31,0,1,1,0,3.649368,3.362396,"(0.0, 0.0)","(0.5, 0.5)","(0.5, 0.5)","(-8.0, 4.1, -35.9)","(31.4, 5.0, -35.1)","(-32.1, 3.7, -36.4)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-58-05.019,3,31,31,0,1,1,0,3.647202,3.365372,"(0.0, 0.0)","(0.5, 0.5)","(0.5, 0.5)","(-6.8, 4.2, -35.9)","(31.4, 4.9, -35.1)","(-32.1, 3.7, -36.4)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-58-05.034,3,31,31,0,1,1,0,3.649902,3.367157,"(0.0, 0.0)","(0.5, 0.5)","(0.5, 0.5)","(-5.7, 4.2, -35.8)","(31.4, 4.9, -35.1)","(-32.1, 3.7, -36.4)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-58-05.048,3,31,31,0,1,1,0,3.65213,3.368637,"(0.0, 0.0)","(0.5, 0.5)","(0.5, 0.5)","(-5.7, 4.2, -35.8)","(31.4, 4.9, -35.1)","(-32.1, 3.6, -36.4)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
