GtecTime,UnityTimeTicks,EyeTimeStamp,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection,LeftEyeWide,RightEyeWide,LeftEyeSqeeze,RightEyeSqeeze,LeftEyeFrown,RightEyeFrown,FocusStatus,GazeIndex,RayOriginal,RayDirection,Collider,Distance,Normal,Point,Transform.position,Transform.rotation,Camera.position,Camera.rotation
0,637605831984988193,995757,3,31,31,0,1,1,0,2.117706,2.030899,"(0.0, 0.0)","(0.5, 0.6)","(0.4, 0.6)","(-29.3, 10.3, -59.7)","(32.4, 10.7, -60.3)","(-29.3, 10.3, -59.7)","(0.0, -0.2, 1.0)","(-0.1, -0.3, 1.0)","(0.0, -0.2, 1.0)",0.2720259,0.2720259,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
0,637605831985077972,995765,3,31,31,0,1,1,0,2.097961,1.656265,"(0.0, 0.0)","(0.5, 0.6)","(0.4, 0.6)","(-29.2, 10.3, -59.7)","(32.3, 10.7, -60.2)","(-29.2, 10.3, -59.7)","(0.0, -0.3, 0.9)","(-0.1, -0.3, 1.0)","(0.0, -0.3, 0.9)",0.1782975,0.1782975,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
0,637605831985147754,995774,3,31,25,0,1,1,0,1.521683,-1,"(0.0, 0.0)","(0.5, 0.6)","(0.4, 0.6)","(32.5, 10.6, -60.3)","(32.5, 10.6, -60.3)","(-29.3, 10.2, -59.8)","(-0.1, -0.4, 0.9)","(-0.1, -0.4, 0.9)","(0.0, 0.0, 0.0)",0.1279958,0.1279958,0,0,0,0,False,0,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.9)","(0.1, -0.1, 0.0, 1.0)"
0,637605831985237521,995782,0,24,25,0,0.7975011,0.7082302,0,-1,-1,"(0.0, 0.0)","(0.5, 0.6)","(0.4, 0.6)","(-1.0, -1.0, -1.0)","(32.5, 10.6, -60.3)","(-28.8, 9.8, -59.9)","(-1.0, -1.0, -1.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.9)","(0.1, -0.1, 0.0, 1.0)"
0,637605831985317320,995790,3,31,25,0,0.7975011,0.7082302,0,2.921204,-1,"(0.0, 0.0)","(0.6, 0.6)","(0.3, 0.7)","(31.2, 9.9, -60.8)","(31.2, 9.9, -60.8)","(-27.9, 9.0, -60.4)","(-0.3, -0.4, 0.9)","(-0.3, -0.4, 0.9)","(0.0, 0.0, 0.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.9)","(0.1, -0.1, 0.0, 1.0)"
0,637605831985397099,995799,0,8,25,0,0.1796318,0.3744309,0,-1,-1,"(0.0, 0.0)","(-1.0, -1.0)","(0.3, 0.7)","(-1.0, -1.0, -1.0)","(31.2, 9.9, -60.8)","(-27.9, 8.6, -60.6)","(-1.0, -1.0, -1.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.9)","(0.1, -0.1, 0.0, 1.0)"
0,637605831985466908,995807,0,8,8,0,0.1796318,0.3744309,0,-1,-1,"(0.0, 0.0)","(-1.0, -1.0)","(-1.0, -1.0)","(-1.0, -1.0, -1.0)","(31.2, 9.9, -60.8)","(-27.9, 8.6, -60.6)","(-1.0, -1.0, -1.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.9)","(0.1, -0.1, 0.0, 1.0)"
0,637605831985546703,995815,0,8,8,0,0,0.1635141,0,-1,-1,"(0.0, 0.0)","(-1.0, -1.0)","(-1.0, -1.0)","(-1.0, -1.0, -1.0)","(31.2, 9.9, -60.8)","(-27.9, 8.6, -60.6)","(-1.0, -1.0, -1.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.9)","(0.1, -0.1, 0.0, 1.0)"
0,637605831985636465,995824,0,8,24,0,0,0.1635141,0,-1,-1,"(0.0, 0.0)","(-1.0, -1.0)","(0.0, 0.8)","(-1.0, -1.0, -1.0)","(31.2, 9.9, -60.8)","(-27.9, 8.6, -60.6)","(-1.0, -1.0, -1.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.9)","(0.1, -0.1, 0.0, 1.0)"
0,637605831985716256,995832,0,8,24,0,0,0.1211129,0,-1,-1,"(0.0, 0.0)","(-1.0, -1.0)","(0.0, 0.8)","(-1.0, -1.0, -1.0)","(31.2, 9.9, -60.8)","(-27.9, 8.6, -60.6)","(-1.0, -1.0, -1.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.9)","(0.1, -0.1, 0.0, 1.0)"
