GtecTime,UnityTime,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection
0,13-50-56.184,3,31,31,0,0.9538829,0.9164395,0,3.374008,3.218201,"(0.0, 0.0)","(0.5, 0.5)","(0.5, 0.5)","(-4.8, 6.6, -37.8)","(33.0, 6.8, -38.3)","(-30.8, 6.5, -37.5)","(0.1, -0.3, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.3, 1.0)"
0,13-51-01.218,3,31,31,0,1,1,0,3.363815,3.130356,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-3.5, 7.7, -37.0)","(32.9, 7.9, -38.0)","(-30.9, 7.5, -36.2)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-51-01.238,3,31,31,0,1,1,0,3.371017,3.129272,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-9.6, 7.7, -36.8)","(33.0, 7.9, -38.0)","(-30.9, 7.5, -36.2)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-51-01.251,3,31,31,0,1,1,0,3.384552,3.128403,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-6.8, 7.7, -36.9)","(33.0, 7.9, -38.0)","(-30.9, 7.6, -36.3)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-51-01.266,3,31,31,0,1,1,0,3.404053,3.127808,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-2.9, 7.7, -37.0)","(33.0, 7.9, -37.9)","(-30.9, 7.6, -36.3)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-51-01.280,3,31,31,0,1,1,0,3.412643,3.123962,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-0.1, 7.7, -37.1)","(33.0, 7.9, -37.9)","(-30.9, 7.6, -36.3)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-51-01.295,3,31,31,0,1,1,0,3.418991,3.129318,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-0.5, 7.7, -37.1)","(33.0, 7.9, -37.9)","(-30.9, 7.6, -36.3)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-51-01.314,3,31,31,0,1,1,0,3.420319,3.129318,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-4.3, 7.7, -37.0)","(33.0, 7.9, -37.9)","(-30.9, 7.6, -36.3)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-51-01.330,3,31,31,0,1,1,0,3.423355,3.13559,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-6.6, 7.7, -36.9)","(33.0, 7.9, -37.9)","(-30.9, 7.6, -36.3)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-51-01.345,3,31,31,0,1,1,0,3.425354,3.135941,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-7.6, 7.7, -36.9)","(33.0, 7.9, -37.9)","(-30.9, 7.6, -36.3)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
