GtecTime,UnityTime,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection
0,13-55-36.005,3,31,31,0,0.9649953,0.9997465,0,4.154449,3.823639,"(0.0, 0.0)","(0.4, 0.4)","(0.4, 0.4)","(-4.0, 7.8, -35.5)","(34.0, 9.2, -36.8)","(-29.6, 7.0, -34.6)","(0.2, -0.2, 1.0)","(0.2, -0.1, 1.0)","(0.3, -0.2, 0.9)"
0,13-55-36.024,3,31,31,0,1,1,0,4.147903,3.823074,"(0.0, 0.0)","(0.4, 0.4)","(0.4, 0.4)","(-4.4, 7.8, -35.5)","(34.0, 9.1, -36.9)","(-29.6, 7.0, -34.6)","(0.2, -0.2, 1.0)","(0.2, -0.1, 1.0)","(0.3, -0.2, 0.9)"
0,13-55-36.041,3,31,31,0,1,1,0,4.141937,3.818848,"(0.0, 0.0)","(0.4, 0.4)","(0.4, 0.4)","(-4.6, 7.8, -35.5)","(34.0, 9.1, -36.9)","(-29.6, 7.0, -34.6)","(0.2, -0.2, 1.0)","(0.2, -0.1, 1.0)","(0.3, -0.2, 0.9)"
0,13-55-36.063,3,31,31,0,1,1,0,4.142563,3.799911,"(0.0, 0.0)","(0.4, 0.4)","(0.4, 0.4)","(-4.3, 7.8, -35.5)","(34.0, 9.1, -36.9)","(-29.6, 6.9, -34.6)","(0.2, -0.2, 1.0)","(0.2, -0.1, 1.0)","(0.3, -0.2, 0.9)"
0,13-55-36.080,3,31,31,0,1,1,0,4.142532,3.796646,"(0.0, 0.0)","(0.4, 0.4)","(0.4, 0.4)","(-3.6, 7.8, -35.5)","(34.0, 9.1, -36.9)","(-29.6, 6.9, -34.6)","(0.2, -0.2, 1.0)","(0.2, -0.1, 1.0)","(0.3, -0.2, 0.9)"
0,13-55-36.097,3,31,31,0,1,1,0,4.130814,3.793747,"(0.0, 0.0)","(0.4, 0.4)","(0.4, 0.4)","(-3.0, 7.8, -35.6)","(34.0, 9.1, -36.9)","(-29.6, 6.9, -34.6)","(0.2, -0.2, 1.0)","(0.2, -0.1, 1.0)","(0.3, -0.2, 0.9)"
0,13-55-36.114,3,31,31,0,1,1,0,4.112717,3.792618,"(0.0, 0.0)","(0.4, 0.4)","(0.4, 0.4)","(-2.7, 7.8, -35.6)","(34.0, 9.1, -36.9)","(-29.6, 6.9, -34.6)","(0.2, -0.2, 1.0)","(0.2, -0.1, 1.0)","(0.3, -0.2, 0.9)"
0,13-55-36.130,3,31,31,0,1,1,0,4.083115,3.785477,"(0.0, 0.0)","(0.4, 0.4)","(0.4, 0.4)","(-3.2, 7.8, -35.6)","(34.0, 9.1, -36.9)","(-29.6, 6.9, -34.6)","(0.2, -0.2, 1.0)","(0.2, -0.1, 1.0)","(0.3, -0.2, 0.9)"
0,13-55-36.147,3,31,31,0,1,1,0,3.985748,3.780319,"(0.0, 0.0)","(0.4, 0.4)","(0.4, 0.4)","(-4.0, 7.8, -35.5)","(33.8, 9.1, -36.9)","(-29.8, 6.9, -34.6)","(0.2, -0.2, 1.0)","(0.1, -0.1, 1.0)","(0.2, -0.2, 0.9)"
0,13-55-36.165,3,31,31,0,0.9515724,0.9957139,0,3.980545,3.724228,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(32.4, 9.3, -36.6)","(33.4, 9.4, -36.6)","(-30.1, 7.4, -35.5)","(0.1, -0.1, 1.0)","(0.1, -0.1, 1.0)","(0.2, -0.2, 1.0)"
