GtecTime,UnityTime,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection
0,13-51-11.785,3,31,31,0,1,1,0,3.379059,2.941086,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(1.4, 8.3, -40.1)","(32.6, 7.9, -38.9)","(-31.4, 8.7, -41.5)","(0.0, -0.2, 1.0)","(-0.1, -0.2, 1.0)","(0.0, -0.2, 1.0)"
0,13-51-16.838,3,31,31,0,1,1,0,3.721527,3.439972,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-2.8, 8.4, -36.5)","(33.2, 8.5, -37.6)","(-30.8, 8.3, -35.7)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-51-16.859,3,31,31,0,1,1,0,3.720093,3.452698,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-6.2, 8.4, -36.4)","(33.2, 8.5, -37.6)","(-30.8, 8.3, -35.7)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-51-16.876,3,31,31,0,1,1,0,3.717484,3.470398,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-5.4, 8.4, -36.5)","(33.2, 8.5, -37.6)","(-30.8, 8.3, -35.7)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-51-16.892,3,31,31,0,1,1,0,3.720657,3.479248,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-3.2, 8.4, -36.5)","(33.2, 8.5, -37.6)","(-30.8, 8.3, -35.7)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-51-16.907,3,31,31,0,1,1,0,3.722916,3.474319,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(12.1, 8.5, -37.0)","(33.2, 8.5, -37.6)","(-30.8, 8.4, -35.9)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-51-16.921,3,31,31,0,1,1,0,3.723312,3.485962,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(22.1, 8.5, -37.3)","(33.2, 8.5, -37.6)","(-30.8, 8.4, -35.9)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-51-16.936,3,31,31,0,1,1,0,3.721741,3.473984,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(23.1, 8.5, -37.3)","(33.2, 8.5, -37.6)","(-30.8, 8.4, -35.9)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-51-16.952,3,31,31,0,1,1,0,3.723404,3.488098,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(18.6, 8.5, -37.2)","(33.2, 8.5, -37.6)","(-30.8, 8.4, -35.9)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-51-16.967,3,31,31,0,1,1,0,3.723373,3.480164,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(2.4, 8.5, -36.8)","(33.2, 8.5, -37.6)","(-30.8, 8.4, -35.9)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
