GtecTime,UnityTime,LeftEyeOpenness,RightEyeOpenness
0,13-58-06.689,1,1
0,13-58-11.695,1,1
0,13-58-11.714,1,1
0,13-58-11.724,1,1
0,13-58-11.734,1,1
0,13-58-11.744,1,1
0,13-58-11.755,1,1
0,13-58-11.770,1,1
0,13-58-11.791,1,1
0,13-58-11.801,1,1
0,13-58-11.810,1,1
0,13-58-11.819,1,1
0,13-58-11.828,1,1
0,13-58-11.837,1,1
0,13-58-11.847,1,1
0,13-58-11.855,1,1
0,13-58-11.866,1,1
0,13-58-11.875,1,1
0,13-58-11.885,1,1
0,13-58-11.894,1,1
0,13-58-11.904,1,1
0,13-58-11.914,1,1
0,13-58-11.923,1,1
0,13-58-11.933,1,1
0,13-58-11.943,1,1
0,13-58-11.952,1,1
0,13-58-11.962,1,1
0,13-58-11.971,1,1
0,13-58-11.981,1,1
0,13-58-11.990,1,1
0,13-58-12.000,1,1
0,13-58-12.010,1,1
0,13-58-12.019,1,1
0,13-58-12.030,1,1
0,13-58-12.039,1,1
0,13-58-12.048,1,1
0,13-58-12.058,1,1
0,13-58-12.068,1,1
0,13-58-12.078,1,1
0,13-58-12.087,1,1
0,13-58-12.097,1,1
0,13-58-12.107,1,1
0,13-58-12.117,1,1
0,13-58-12.127,1,1
0,13-58-12.136,1,1
0,13-58-12.146,1,1
0,13-58-12.156,1,1
0,13-58-12.166,1,1
0,13-58-12.175,1,1
0,13-58-12.185,1,1
0,13-58-12.196,1,1
0,13-58-12.205,1,1
0,13-58-12.221,1,1
0,13-58-12.231,1,1
0,13-58-12.240,1,1
0,13-58-12.250,1,1
0,13-58-12.259,1,1
0,13-58-12.268,1,1
0,13-58-12.278,1,1
0,13-58-12.287,1,1
0,13-58-12.297,1,1
0,13-58-12.306,1,1
0,13-58-12.316,1,1
0,13-58-12.327,1,1
0,13-58-12.336,1,1
0,13-58-12.346,1,1
0,13-58-12.355,1,1
0,13-58-12.364,1,1
0,13-58-12.374,1,1
0,13-58-12.385,1,1
0,13-58-12.395,1,1
0,13-58-12.405,1,1
0,13-58-12.415,1,1
0,13-58-12.425,1,1
0,13-58-12.434,1,1
0,13-58-12.445,1,1
0,13-58-12.454,1,1
0,13-58-12.465,1,1
0,13-58-12.518,1,1
0,13-58-12.529,1,1
0,13-58-12.538,1,1
0,13-58-12.548,1,1
0,13-58-12.559,1,1
0,13-58-12.569,1,1
0,13-58-12.579,1,1
0,13-58-12.589,1,1
0,13-58-12.599,1,1
0,13-58-12.610,1,1
0,13-58-12.620,1,1
0,13-58-12.631,1,1
0,13-58-12.640,1,1
0,13-58-12.652,1,1
0,13-58-12.662,1,1
0,13-58-12.672,1,1
0,13-58-12.683,1,1
0,13-58-12.692,1,1
0,13-58-12.702,1,1
0,13-58-12.712,1,1
0,13-58-12.722,1,1
0,13-58-12.732,1,1
0,13-58-12.741,1,1
0,13-58-12.750,1,1
0,13-58-12.760,1,1
0,13-58-12.769,1,1
0,13-58-12.779,1,1
0,13-58-12.788,1,1
0,13-58-12.798,1,1
0,13-58-12.808,1,1
0,13-58-12.817,1,1
0,13-58-12.827,1,1
0,13-58-12.836,1,1
0,13-58-12.846,1,1
0,13-58-12.855,1,1
0,13-58-12.866,1,1
0,13-58-12.875,1,1
0,13-58-12.885,1,1
0,13-58-12.894,1,1
0,13-58-12.904,1,1
0,13-58-12.913,1,1
0,13-58-12.923,1,1
0,13-58-12.933,1,1
0,13-58-12.943,1,1
0,13-58-12.952,1,1
0,13-58-12.962,1,1
0,13-58-12.971,1,1
0,13-58-12.981,1,1
0,13-58-12.991,1,1
0,13-58-13.001,1,1
0,13-58-13.011,1,1
0,13-58-13.020,1,1
0,13-58-13.030,1,1
0,13-58-13.039,1,1
0,13-58-13.049,1,1
0,13-58-13.058,1,1
0,13-58-13.068,1,1
0,13-58-13.078,1,1
0,13-58-13.087,1,1
0,13-58-13.096,1,1
0,13-58-13.105,1,1
0,13-58-13.114,1,1
0,13-58-13.122,1,1
0,13-58-13.132,1,1
0,13-58-13.142,1,1
