MonsterMaxHp,PlayerSpeed,NumberOfColor,ObstacleAppearance,TargetDistance,AdaptiveToggle,ThresholdPoint,ConnectToGtecToggle
300,7,3,20,6,false,80,false
GtecTime,UnityTime,MoveLeft
108.0273,175145.827,0
117.8438,175155.689,1
119.6211,175157.442,1
119.8438,175157.663,1
120.0586,175157.860,1
120.3086,175158.114,1
120.6523,175158.460,1
120.8711,175158.680,1
