GtecTime,UnityTime,LeftEyeOpenness,RightEyeOpenness
0,13-59-38.618,1,1
0,13-59-38.629,1,1
0,13-59-38.640,1,1
0,13-59-38.650,1,1
0,13-59-38.661,1,1
0,13-59-38.672,1,1
0,13-59-38.683,1,1
0,13-59-38.694,1,1
0,13-59-38.705,1,1
0,13-59-38.715,1,1
0,13-59-38.726,1,1
0,13-59-38.736,1,1
0,13-59-38.747,1,1
0,13-59-38.759,1,1
0,13-59-38.769,1,1
0,13-59-38.782,1,1
0,13-59-38.795,1,1
0,13-59-38.806,1,1
0,13-59-38.817,1,1
0,13-59-38.828,1,1
0,13-59-38.838,1,1
0,13-59-38.849,1,1
0,13-59-38.861,1,1
0,13-59-38.871,1,1
0,13-59-38.882,1,1
0,13-59-38.893,1,1
0,13-59-38.903,1,1
0,13-59-38.915,1,1
0,13-59-38.926,1,1
0,13-59-38.943,1,1
0,13-59-38.955,1,1
0,13-59-38.969,1,1
0,13-59-38.981,1,1
0,13-59-38.993,1,1
0,13-59-39.004,1,1
0,13-59-39.015,1,1
0,13-59-39.027,1,1
0,13-59-39.037,1,1
0,13-59-39.049,1,1
0,13-59-39.060,1,1
0,13-59-39.071,1,1
0,13-59-39.083,1,1
0,13-59-39.095,1,1
0,13-59-39.106,1,1
0,13-59-39.118,1,1
0,13-59-39.130,1,1
0,13-59-39.140,1,1
0,13-59-39.153,1,1
0,13-59-39.165,1,1
0,13-59-39.181,1,1
0,13-59-39.193,1,1
0,13-59-39.204,1,1
0,13-59-39.216,1,1
0,13-59-39.228,1,1
0,13-59-39.240,1,1
0,13-59-39.251,1,1
0,13-59-39.265,1,1
0,13-59-39.276,1,1
0,13-59-39.287,1,1
0,13-59-39.298,1,1
0,13-59-39.309,1,1
0,13-59-39.319,1,1
0,13-59-39.330,1,1
0,13-59-39.341,1,1
0,13-59-39.352,1,1
0,13-59-39.367,1,1
0,13-59-39.378,1,1
0,13-59-39.388,1,1
0,13-59-39.397,1,1
0,13-59-39.407,1,1
0,13-59-39.418,1,1
0,13-59-39.429,1,1
0,13-59-39.439,1,1
0,13-59-39.449,1,1
0,13-59-39.461,1,1
0,13-59-39.472,1,1
0,13-59-39.483,1,1
0,13-59-39.493,1,1
0,13-59-39.504,1,1
0,13-59-39.514,1,1
0,13-59-39.524,1,1
0,13-59-39.535,1,1
0,13-59-39.545,1,1
0,13-59-39.555,1,1
0,13-59-39.567,1,1
0,13-59-39.577,1,1
0,13-59-39.587,1,1
0,13-59-39.598,1,1
0,13-59-39.607,1,1
0,13-59-39.618,1,1
0,13-59-39.629,1,1
0,13-59-39.639,1,1
0,13-59-39.650,1,1
0,13-59-39.661,1,1
0,13-59-39.670,1,1
0,13-59-39.680,1,1
0,13-59-39.690,1,1
0,13-59-39.700,1,1
0,13-59-39.710,1,1
0,13-59-39.720,1,1
0,13-59-39.730,1,1
0,13-59-39.741,1,1
0,13-59-39.751,1,1
0,13-59-39.762,1,1
0,13-59-39.771,1,1
0,13-59-39.782,1,1
0,13-59-39.792,1,1
0,13-59-39.802,1,1
0,13-59-39.813,1,1
0,13-59-39.822,1,1
0,13-59-39.833,1,1
0,13-59-39.844,1,1
0,13-59-39.853,1,1
0,13-59-39.864,1,1
0,13-59-39.874,1,1
0,13-59-39.884,1,1
0,13-59-39.895,1,1
0,13-59-39.905,1,1
0,13-59-39.916,1,1
0,13-59-39.926,1,1
0,13-59-39.935,1,1
0,13-59-39.946,1,1
0,13-59-39.956,1,1
0,13-59-39.967,1,1
0,13-59-39.977,1,1
0,13-59-39.988,1,1
0,13-59-39.998,1,1
0,13-59-40.007,1,1
0,13-59-40.017,1,1
0,13-59-40.027,1,1
0,13-59-40.036,1,1
0,13-59-40.047,1,1
0,13-59-40.056,1,1
0,13-59-40.067,1,1
0,13-59-40.077,1,1
0,13-59-40.086,1,1
0,13-59-40.096,1,1
0,13-59-40.107,1,1
0,13-59-40.117,1,1
0,13-59-40.128,1,1
0,13-59-40.139,1,1
0,13-59-40.150,1,1
0,13-59-40.161,1,1
0,13-59-40.170,1,1
0,13-59-40.181,1,1
0,13-59-40.190,1,1
0,13-59-40.201,1,1
0,13-59-40.211,1,1
0,13-59-40.221,1,1
0,13-59-40.232,1,1
0,13-59-40.242,1,1
0,13-59-40.252,1,1
0,13-59-40.263,1,1
0,13-59-40.273,1,1
0,13-59-40.283,1,1
0,13-59-40.295,1,1
0,13-59-40.305,1,1
0,13-59-40.319,1,1
0,13-59-40.330,1,1
0,13-59-40.350,1,1
0,13-59-40.369,1,1
0,13-59-40.382,1,1
0,13-59-40.393,1,1
0,13-59-40.409,1,1
0,13-59-40.421,1,1
0,13-59-40.432,1,1
0,13-59-40.444,1,1
0,13-59-40.455,1,1
0,13-59-40.466,1,1
0,13-59-40.478,1,1
0,13-59-40.489,1,1
0,13-59-40.501,1,1
0,13-59-40.513,1,1
0,13-59-40.525,1,1
0,13-59-40.536,1,1
0,13-59-40.550,1,1
0,13-59-40.562,1,1
0,13-59-40.575,1,1
0,13-59-40.587,1,1
0,13-59-40.601,1,1
0,13-59-40.614,1,1
0,13-59-40.625,1,1
0,13-59-40.636,1,1
0,13-59-40.648,1,1
0,13-59-40.657,1,1
0,13-59-40.668,1,1
0,13-59-40.679,1,1
0,13-59-40.689,1,1
0,13-59-40.700,1,1
0,13-59-40.711,1,1
0,13-59-40.722,1,1
0,13-59-40.734,1,1
0,13-59-40.745,1,1
0,13-59-40.755,1,1
0,13-59-40.766,1,1
0,13-59-40.777,1,1
0,13-59-40.787,1,1
0,13-59-40.800,1,1
0,13-59-40.810,1,1
0,13-59-40.820,1,1
0,13-59-40.832,1,1
0,13-59-40.843,1,1
0,13-59-40.853,1,1
0,13-59-40.865,1,1
0,13-59-40.876,1,1
0,13-59-40.887,1,1
0,13-59-40.899,1,1
0,13-59-40.910,1,1
0,13-59-40.921,1,1
0,13-59-40.932,1,1
0,13-59-40.942,1,1
0,13-59-40.953,1,1
0,13-59-40.965,1,1
0,13-59-40.982,1,1
0,13-59-40.993,1,1
0,13-59-41.005,1,1
0,13-59-41.016,1,1
0,13-59-41.025,1,1
0,13-59-41.035,1,1
0,13-59-41.046,1,1
0,13-59-41.056,1,1
0,13-59-41.066,1,1
0,13-59-41.077,1,1
0,13-59-41.086,1,1
0,13-59-41.097,1,1
0,13-59-41.107,1,1
0,13-59-41.118,1,1
0,13-59-41.128,1,1
0,13-59-41.139,1,1
0,13-59-41.150,1,1
0,13-59-41.161,1,1
