GtecTime,UnityTime,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection,LeftEyeWide,RightEyeWide,LeftEyeSqeeze,RightEyeSqeeze,LeftEyeFrown,RightEyeFrown,FocusStatus,RayOriginal,RayDirection,Collider,Distance,Normal,Point,Transform.position,Transform.rotation,Camera.position,Camera.rotation
890.3711,1249159,0,25,25,0,0.6512126,0.6084725,0,-1,-1,"(0.0, 0.0)","(0.6, 0.5)","(0.6, 0.6)","(-1.0, -1.0, -1.0)","(28.8, 3.6, -24.8)","(-32.6, 1.0, -29.0)","(-1.0, -1.0, -1.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-0.2, 2.6, 4.0)","(0.0, -1.0, 0.1, 0.2)"
895.4023,1254199,3,31,31,0,1,1,0,3.947144,4.011124,"(0.0, 0.0)","(0.6, 0.3)","(0.6, 0.4)","(21.4, 6.1, -23.9)","(29.1, 6.4, -23.4)","(-33.1, 4.1, -27.3)","(-0.1, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.1991294,0.1991294,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -8.0)","(0.2, 0.0, 0.0, 1.0)"
895.4336,1254223,3,31,31,0,1,1,0,3.920547,3.992035,"(0.0, 0.0)","(0.6, 0.3)","(0.6, 0.4)","(14.0, 5.8, -24.3)","(29.1, 6.4, -23.4)","(-33.1, 4.1, -27.3)","(0.0, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.2107294,0.2107294,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -8.0)","(0.2, 0.0, 0.0, 1.0)"
895.4336,1254243,3,31,31,0,1,1,0,3.915283,3.989716,"(0.0, 0.0)","(0.6, 0.3)","(0.6, 0.4)","(7.9, 5.6, -24.7)","(29.1, 6.4, -23.4)","(-33.1, 4.1, -27.3)","(0.0, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.210242,0.210242,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -7.9)","(0.2, 0.0, 0.0, 1.0)"
895.4922,1254263,3,31,31,0,1,1,0,3.916168,3.997284,"(0.0, 0.0)","(0.6, 0.3)","(0.6, 0.4)","(7.2, 5.6, -24.7)","(29.1, 6.4, -23.3)","(-33.1, 4.1, -27.3)","(0.0, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.2142297,0.2142297,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -7.8)","(0.2, 0.0, 0.0, 1.0)"
895.5078,1254295,3,31,31,0,1,1,0,3.916168,3.997284,"(0.0, 0.0)","(0.6, 0.3)","(0.6, 0.4)","(7.2, 5.6, -24.7)","(29.1, 6.4, -23.3)","(-33.1, 4.1, -27.3)","(0.0, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.2142297,0.2142297,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -7.7)","(0.2, 0.0, 0.0, 1.0)"
895.5273,1254318,3,31,31,0,1,1,0,3.924423,3.997482,"(0.0, 0.0)","(0.6, 0.3)","(0.6, 0.4)","(2.8, 5.4, -25.0)","(29.1, 6.4, -23.3)","(-33.2, 4.1, -27.3)","(0.0, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.2176012,0.2176012,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -7.5)","(0.2, 0.0, 0.0, 1.0)"
895.5586,1254341,3,31,31,0,1,1,0,3.892502,3.975586,"(0.0, 0.0)","(0.6, 0.3)","(0.6, 0.4)","(-0.1, 5.3, -25.1)","(29.1, 6.3, -23.3)","(-33.2, 4.1, -27.3)","(0.0, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.2065677,0.2065677,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -7.4)","(0.2, 0.0, 0.0, 1.0)"
895.5898,1254363,3,31,31,0,1,1,0,3.872284,3.976334,"(0.0, 0.0)","(0.6, 0.3)","(0.6, 0.4)","(0.9, 5.3, -25.1)","(29.1, 6.3, -23.2)","(-33.2, 4.1, -27.3)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.2374885,0.2374885,0,0,0,0,True,"(0.0, 0.0, 0.0)","(0.0, 0.0, 1.0)",Player (UnityEngine.CharacterController),9.914403,"(0.9, 0.0, -0.5)","(0.3, 2.2, 2.0)","(0.0, 0.0, 2.5)","(0.0, 0.0, 0.0, 1.0)","(0.0, 6.0, -7.2)","(0.2, 0.0, 0.0, 1.0)"
895.5898,1254385,3,31,31,0,1,1,0,3.864502,3.977737,"(0.0, 0.0)","(0.6, 0.3)","(0.6, 0.4)","(2.3, 5.4, -24.9)","(29.1, 6.3, -23.2)","(-33.2, 4.1, -27.2)","(0.0, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.2209414,0.2209414,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -7.0)","(0.2, 0.0, 0.0, 1.0)"
895.6211,1254408,3,31,31,0,1,1,0,3.851288,3.923767,"(0.0, 0.0)","(0.6, 0.3)","(0.6, 0.4)","(4.2, 5.4, -24.8)","(29.1, 6.3, -23.2)","(-33.2, 4.1, -27.2)","(0.0, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.2188991,0.2188991,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -6.8)","(0.2, 0.0, 0.0, 1.0)"
895.6523,1254429,3,31,31,0,1,1,0,3.826126,3.923813,"(0.0, 0.0)","(0.6, 0.3)","(0.6, 0.4)","(7.2, 5.5, -24.6)","(29.1, 6.3, -23.2)","(-33.2, 4.1, -27.2)","(0.0, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.2198811,0.2198811,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -6.6)","(0.2, 0.0, 0.0, 1.0)"
895.6836,1254474,3,31,31,0,1,1,0,3.831665,3.946915,"(0.0, 0.0)","(0.6, 0.3)","(0.6, 0.4)","(7.4, 5.5, -24.6)","(29.1, 6.3, -23.2)","(-33.2, 4.1, -27.2)","(0.0, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.2242961,0.2242961,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -6.3)","(0.2, 0.0, 0.0, 1.0)"
