GtecTime,UnityTime,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection,LeftEyeWide,RightEyeWide,LeftEyeSqeeze,RightEyeSqeeze,LeftEyeFrown,RightEyeFrown,FocusStatus,RayOriginal,RayDirection,Collider,Distance,Normal,Point,Transform.position,Transform.rotation,Camera.position,Camera.rotation
126.1523,1069248,0,24,24,0,0.1190956,0.07896376,0,-1,-1,"(0.0, 0.0)","(0.5, 0.6)","(0.5, 0.6)","(-1.0, -1.0, -1.0)","(31.7, 2.3, -31.0)","(-30.7, 1.3, -31.5)","(-1.0, -1.0, -1.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-0.2, 2.6, 4.0)","(0.0, -1.0, 0.1, 0.2)"
131.1836,1074309,3,31,31,0,1,1,0,3.284195,3.153046,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(-3.0, 4.2, -30.9)","(32.2, 4.8, -31.2)","(-30.5, 3.7, -30.6)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)",0.4710895,0.4710895,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -8.0)","(0.2, 0.0, 0.0, 1.0)"
131.2148,1074328,3,31,31,0,1,1,0,3.264191,3.148743,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(3.4, 4.3, -30.9)","(32.2, 4.8, -31.2)","(-30.5, 3.7, -30.6)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)",0.4541488,0.4541488,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -8.0)","(0.2, 0.0, 0.0, 1.0)"
131.2461,1074351,3,31,31,0,1,1,0,3.292557,3.148788,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(1.0, 4.2, -30.9)","(32.2, 4.8, -31.2)","(-30.5, 3.7, -30.6)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)",0.4428389,0.4428389,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -7.9)","(0.2, 0.0, 0.0, 1.0)"
131.2461,1074369,3,31,31,0,1,1,0,3.283554,3.144501,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(1.3, 4.2, -30.9)","(32.2, 4.8, -31.2)","(-30.5, 3.7, -30.6)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)",0.4447536,0.4447536,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -7.8)","(0.2, 0.0, 0.0, 1.0)"
131.2461,1074388,3,31,31,0,1,1,0,3.299759,3.148163,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(0.8, 4.2, -30.9)","(32.2, 4.8, -31.2)","(-30.5, 3.7, -30.6)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)",0.44008,0.44008,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -7.6)","(0.2, 0.0, 0.0, 1.0)"
131.2461,1074408,3,31,31,0,1,1,0,3.301361,3.137115,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(0.2, 4.2, -30.9)","(32.2, 4.8, -31.2)","(-30.5, 3.7, -30.6)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)",0.4275716,0.4275716,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -7.5)","(0.2, 0.0, 0.0, 1.0)"
131.3086,1074427,3,31,31,0,1,1,0,3.320007,3.13681,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(0.5, 4.2, -30.9)","(32.2, 4.8, -31.2)","(-30.5, 3.7, -30.6)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)",0.4236082,0.4236082,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -7.3)","(0.2, 0.0, 0.0, 1.0)"
131.3398,1074448,3,31,31,0,1,1,0,3.319595,3.128113,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(2.6, 4.2, -30.9)","(32.2, 4.8, -31.2)","(-30.6, 3.7, -30.6)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)",0.4256867,0.4256867,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -7.1)","(0.2, 0.0, 0.0, 1.0)"
131.3398,1074467,3,31,31,0,1,1,0,3.334488,3.128235,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(4.3, 4.3, -30.9)","(32.2, 4.7, -31.2)","(-30.6, 3.7, -30.6)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)",0.4302005,0.4302005,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -6.9)","(0.2, 0.0, 0.0, 1.0)"
